City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
124,Koplik,AL,2021-09-23 04:45:31,42.2136,19.4364,61.92,61,18,5.01
125,Fukue,JP,2021-09-23 04:45:32,32.6881,128.8419,82.76,74,75,9.22
126,Husavik,IS,2021-09-23 04:45:32,66.0449,-17.3389,31.91,84,48,8.01
127,Quatre Cocos,MU,2021-09-23 04:45:33,-20.2078,57.7625,73.09,71,23,13.18
128,Ayolas,PY,2021-09-23 04:45:34,-27.4,-56.9,59.25,77,54,5.59
129,Torbay,CA,2021-09-23 04:45:05,47.6666,-52.7314,58.75,91,40,20.71
130,Santa Isabel,BR,2021-09-23 04:45:35,-23.3156,-46.2214,60.4,91,49,5.66
131,Albury,AU,2021-09-23 04:42:02,-36.0833,146.9167,68.14,62,40,5.75
132,Ancud,CL,2021-09-23 04:45:36,-41.8697,-73.8203,50.43,81,100,12.86
133,Kalmar,SE,2021-09-23 04:45:37,56.6616,16.3616,55.96,94,90,6.91
134,Ponta Delgada,PT,2021-09-23 04:45:38,37.7333,-25.6667,68.72,73,20,8.05
135,Ponerihouen,NC,2021-09-23 04:45:38,-21.0833,165.4,75.74,47,4,13.2
136,Norman Wells,CA,2021-09-23 04:45:39,65.282,-126.8329,33.84,93,90,14.97
137,Zurrieq,MT,2021-09-23 04:45:40,35.8311,14.4742,74.97,83,40,6.91
138,Ahipara,NZ,2021-09-23 04:45:40,-35.1667,173.1667,56.23,70,86,14.65
139,Parnarama,BR,2021-09-23 04:45:41,-5.6817,-43.0933,78.66,65,60,5.39
140,Bonthe,SL,2021-09-23 04:45:42,7.5264,-12.505,74.97,92,100,3.38
141,Te Anau,NZ,2021-09-23 04:45:43,-45.4167,167.7167,58.21,74,85,5.21
142,Hovd,MN,2021-09-23 04:45:44,48.0056,91.6419,52.57,13,99,3.56
143,Gweta,BW,2021-09-23 04:45:44,-20.1833,25.2333,59.85,69,16,13.15
144,Ballangen,NO,2021-09-23 04:45:45,68.3428,16.8315,48.4,87,75,1.14
145,Caravelas,BR,2021-09-23 04:45:46,-17.7125,-39.2481,71.73,64,100,13.89
146,Sur,OM,2021-09-23 04:45:47,22.5667,59.5289,91.87,49,30,3.09
147,Luanda,AO,2021-09-23 04:42:13,-8.8368,13.2343,71.6,88,75,2.3
148,Kaitangata,NZ,2021-09-23 04:45:48,-46.2817,169.8464,52.05,69,99,4.94
149,Fortuna,US,2021-09-23 04:45:49,40.5982,-124.1573,58.42,64,1,1.01
150,Salalah,OM,2021-09-23 04:41:37,17.0151,54.0924,82.49,78,20,4.61
151,Dubrovka,RU,2021-09-23 04:45:50,53.6907,33.5071,40.98,94,100,3.53
152,Sulangan,PH,2021-09-23 04:45:50,11.1373,123.7228,83.08,71,100,5.48
153,Monywa,MM,2021-09-23 04:45:51,22.1167,95.1333,88.72,62,56,8.48
154,Walvis Bay,NA,2021-09-23 04:43:00,-22.9575,14.5053,51.1,100,3,5.75
155,Pevek,RU,2021-09-23 04:45:52,69.7008,170.3133,29.35,72,98,4.14
156,Naryan-Mar,RU,2021-09-23 04:45:53,67.6713,53.087,38.23,67,79,8.14
157,Yulara,AU,2021-09-23 04:41:30,-25.2406,130.9889,73.24,11,4,9.22
158,Shimoda,JP,2021-09-23 04:45:54,34.6667,138.95,84.56,59,8,18.41
159,Steamboat Springs,US,2021-09-23 04:45:55,40.485,-106.8317,56.7,32,1,0.0
160,Isangel,VU,2021-09-23 04:45:55,-19.55,169.2667,73.15,84,69,14.81
161,Guarapari,BR,2021-09-23 04:45:56,-20.6667,-40.4975,66.09,67,45,13.2
162,Hofn,IS,2021-09-23 04:45:57,64.2539,-15.2082,40.53,52,1,7.92
163,Atuona,PF,2021-09-23 04:41:22,-9.8,-139.0333,77.59,81,14,19.13
164,Xining,CN,2021-09-23 04:45:59,36.6167,101.7667,65.68,45,36,3.91
165,Gambela,ET,2021-09-23 04:45:59,8.25,34.5833,72.54,87,83,3.83
166,Codrington,AU,2021-09-23 04:46:01,-38.2667,141.9667,62.74,64,0,18.75
167,Udarnyy,RU,2021-09-23 04:46:02,54.3409,42.8611,49.48,95,100,7.87
168,Yenagoa,NG,2021-09-23 04:46:03,4.9247,6.2642,72.75,97,96,2.21
169,Boyabat,TR,2021-09-23 04:46:04,41.4689,34.7667,52.72,86,100,4.21
170,Gladstone,AU,2021-09-23 04:46:05,-23.85,151.25,75.13,38,0,13.8
171,Qaanaaq,GL,2021-09-23 04:41:19,77.484,-69.3632,12.85,56,5,8.14
172,Cape Town,ZA,2021-09-23 04:40:35,-33.9258,18.4232,62.89,64,0,1.01
173,Samarinda,ID,2021-09-23 04:46:07,-0.5,117.15,93.72,44,56,2.57
174,San Cristobal,VE,2021-09-23 04:46:08,7.7669,-72.225,65.43,95,96,2.8
175,Broome,US,2021-09-23 04:46:09,42.2506,-75.833,72.9,76,75,3.0
176,Devarkonda,IN,2021-09-23 04:46:11,16.7,78.9333,83.41,68,100,10.18
177,Faya,SA,2021-09-23 04:46:11,18.3851,42.4509,64.51,20,13,0.51
178,Prainha,BR,2021-09-23 04:46:12,-1.8,-53.48,78.6,73,40,5.64
179,Leh,IN,2021-09-23 04:46:12,34.1667,77.5833,55.62,42,95,5.53
180,Khatanga,RU,2021-09-23 04:41:38,71.9667,102.5,36.88,95,99,0.69
181,San Quintin,MX,2021-09-23 04:46:14,30.4833,-115.95,72.09,78,5,6.89
182,Bethel,US,2021-09-23 04:39:49,41.3712,-73.414,73.76,89,75,5.75
183,Hirara,JP,2021-09-23 04:46:14,24.8,125.2833,88.07,74,40,10.36
184,Souillac,MU,2021-09-23 04:46:15,-20.5167,57.5167,73.36,73,75,11.5
185,Bambanglipuro,ID,2021-09-23 04:46:16,-7.95,110.2833,88.45,56,80,11.72
186,Lahij,YE,2021-09-23 04:46:17,13.1667,44.5833,90.41,36,81,3.11
187,Acajutla,SV,2021-09-23 04:46:17,13.5928,-89.8275,78.75,85,47,5.68
188,Puerto Baquerizo Moreno,EC,2021-09-23 04:46:18,-0.9,-89.6,69.04,88,93,12.41
189,Grindavik,IS,2021-09-23 04:46:18,63.8424,-22.4338,39.67,87,75,11.5
190,Sao Raimundo Nonato,BR,2021-09-23 04:46:19,-9.0153,-42.6994,78.78,26,11,4.38
191,Billings,US,2021-09-23 04:46:20,45.7833,-108.5007,71.37,18,20,5.75
192,Gunjur,GM,2021-09-23 04:46:22,13.2019,-16.7339,78.87,100,40,0.0
193,Luderitz,NA,2021-09-23 04:43:05,-26.6481,15.1594,56.79,79,1,5.35
194,Cayenne,GF,2021-09-23 04:46:23,4.9333,-52.3333,81.09,85,100,0.0
195,Hasaki,JP,2021-09-23 04:46:24,35.7333,140.8333,88.2,81,11,7.07
196,Cockburn Town,TC,2021-09-23 04:44:27,21.4612,-71.1419,82.22,78,91,9.06
197,Ratnagiri,IN,2021-09-23 04:46:25,16.9833,73.3,79.86,82,99,5.82
198,Warrnambool,AU,2021-09-23 04:46:27,-38.3833,142.4833,61.81,71,0,20.04
199,Saint George,US,2021-09-23 04:46:28,37.1041,-113.5841,77.95,20,1,4.0
200,Tarpon Springs,US,2021-09-23 04:46:29,28.1461,-82.7568,81.95,86,40,3.0
201,Nizhniy Ingash,RU,2021-09-23 04:46:30,56.2,96.53,38.3,97,100,4.09
202,Hargeysa,SO,2021-09-23 04:46:31,9.56,44.065,74.34,53,55,25.3
203,Viking,CA,2021-09-23 04:46:32,53.1001,-111.7684,55.13,71,55,7.52
204,Georgetown,MY,2021-09-23 04:43:41,5.4112,100.3354,89.53,62,20,4.61
205,Luganville,VU,2021-09-23 04:46:34,-15.5333,167.1667,79.45,78,77,5.19
206,Soubre,CI,2021-09-23 04:46:36,5.7856,-6.6083,71.71,99,95,2.08
207,Rockhampton,AU,2021-09-23 04:46:37,-23.3833,150.5,76.89,25,0,9.22
208,Beringovskiy,RU,2021-09-23 04:43:22,63.05,179.3167,38.03,83,100,7.76
209,Severomuysk,RU,2021-09-23 04:46:39,56.1481,113.4267,29.7,95,100,3.27
